word,total_count,exam_count,hsk_levels_seen,source_types_seen,char_length,all_chars_known,likely_noise,in_jieba_dict,in_cedict
相亲,11,1,3,listening,2,False,False,True,True
填好,11,7,4,"listening,reading",2,True,False,True,False
责任心,11,9,4,"listening,reading",3,False,False,True,True
申请表,11,7,4,"listening,reading",3,False,False,True,True
卖完,11,7,"3,4","listening,reading",2,True,False,True,True
北京西站,11,7,"3,4","listening,reading",4,False,False,True,False
丽江,11,2,4,"listening,reading",2,False,False,True,True
考上,11,7,"3,4","listening,reading",2,True,False,True,True
老李,11,4,"3,4","listening,reading",2,False,False,True,False
碗筷,11,8,"3,4","listening,reading",2,False,False,True,True
老年人,11,6,"3,4","listening,reading",3,True,False,True,True
王师傅,11,6,4,"listening,reading",3,False,False,True,False
复印机,11,7,4,"listening,reading",3,False,False,True,True
找人,11,9,"3,4","listening,reading",2,True,False,False,False
累不累,11,6,"3,4","listening,reading",3,True,False,True,False
试着,11,10,4,reading,2,True,False,False,True
门外,11,4,"3,4","listening,reading",2,True,False,True,True
讲故事,11,8,"3,4","listening,reading",3,False,False,True,False
邀请信,11,7,4,"listening,reading",3,False,False,True,False
植物园,11,7,4,"listening,reading",3,False,False,True,True
之母,11,3,4,"listening,reading",2,True,False,False,False
学过,11,6,"3,4","listening,reading",2,True,False,False,False
戴上,11,7,"3,4","listening,reading",2,True,False,False,True
签笔,11,6,3,listening,2,True,False,False,False
人太多,10,5,"3,4","listening,reading",3,True,False,False,False
运动鞋,10,5,"3,4","listening,reading",3,True,False,True,True
忘带,10,9,"3,4","listening,reading",2,True,False,True,False
吵醒,10,6,4,"listening,reading",2,True,False,True,True
像不像,10,5,"3,4","listening,reading",3,True,False,True,False
海南,10,4,4,"listening,reading",2,True,False,True,True
笑一笑,10,6,3,"listening,reading",3,True,False,True,False
刘阿姨,10,4,"3,4","listening,reading",3,False,False,True,False
一刻钟,10,9,"3,4","listening,reading",3,True,False,True,False
有句,10,9,"3,4","listening,reading",2,True,False,False,False
天黑,10,7,"3,4","listening,reading",2,True,False,True,True
王老师,10,4,4,"listening,reading",3,False,False,True,False
留在,10,7,4,"listening,reading",2,True,False,True,False
责任感,10,6,4,"listening,reading",3,False,False,True,True
刷卡,10,5,"3,4","listening,reading",2,True,False,True,True
睡不着,10,5,"3,4","listening,reading",3,True,False,True,False
腿疼,10,8,"3,4","listening,reading",2,True,False,True,False
擦破,10,5,4,"listening,reading",2,True,False,True,False
时会,10,8,"3,4","listening,reading",2,True,False,True,False
欢迎您,10,8,"3,4","listening,reading",3,False,False,True,False
字点,10,5,3,listening,2,True,False,False,False
寄信,10,10,4,reading,2,True,False,True,False
累坏,10,6,"3,4","listening,reading",2,True,False,True,True
李校长,10,4,"3,4","listening,reading",3,False,False,True,False
节约用水,10,9,4,"listening,reading",4,True,False,True,False
睡醒,10,10,4,reading,2,True,False,True,True
例,9,2,4,reading,1,False,False,True,True
无论是,9,7,4,"listening,reading",3,False,False,True,False
吃完饭,9,5,"3,4","listening,reading",3,True,False,True,False
周五,9,6,"3,4","listening,reading",2,True,False,True,True
在读,9,7,"3,4","listening,reading",2,True,False,True,True
新车,9,8,"3,4","listening,reading",2,True,False,True,False
从来不,9,7,4,"listening,reading",3,True,False,True,True
向右走,9,5,"3,4","listening,reading",3,True,False,True,False
索兰娅,9,9,3,listening,3,False,False,False,False
各种各样,9,7,4,"listening,reading",4,True,False,True,True
是从,9,6,"3,4","listening,reading",2,True,False,True,False
任何人,9,5,4,"listening,reading",3,False,False,True,False
省市,9,5,4,"listening,reading",2,True,False,True,True
小白,9,5,"3,4","listening,reading",2,True,False,False,True
选择题,9,4,3,"listening,reading",3,False,False,True,True
游泳馆,9,8,"3,4","listening,reading",3,False,False,True,True
己,9,9,"3,4",reading,1,False,False,True,True
发脾气,9,6,4,reading,3,False,False,True,True
试一下,9,7,"3,4","listening,reading",3,True,False,True,False
刚来,9,4,"3,4","listening,reading",2,True,False,True,False
词曲,9,9,3,listening,2,False,False,True,False
慢点儿,9,8,"3,4","listening,reading",3,False,False,True,False
苹果汁,9,5,"3,4","listening,reading",3,False,False,True,True
山上,9,8,"3,4","listening,reading",2,True,False,True,False
菜市场,9,4,4,"listening,reading",3,True,False,True,True
接人,9,6,"3,4","listening,reading",2,True,False,False,True
关灯,9,7,3,"listening,reading",2,True,False,True,False
邻居们,9,3,"3,4","listening,reading",3,False,False,True,False
出去玩,9,8,"3,4",listening,3,True,False,True,False
小赵,9,3,"3,4","listening,reading",2,False,False,False,False
要换,9,5,"3,4","listening,reading",2,True,False,False,False
小林,9,3,4,"listening,reading",2,False,False,True,True
中有,9,7,"3,4","listening,reading",2,True,False,False,False
学好,9,4,"3,4","listening,reading",2,True,False,True,True
总会,9,9,"3,4",reading,2,True,False,True,False
艺术节,9,4,4,reading,3,False,False,True,True
照上,9,5,"3,4","listening,reading",2,True,False,True,False
感谢您,9,7,4,"listening,reading",3,False,False,True,False
翻译成,9,7,4,"listening,reading",3,False,False,True,False
爬楼梯,9,3,"3,4","listening,reading",3,False,False,True,False
骗人,9,7,4,"listening,reading",2,True,False,True,True
发个,9,7,"3,4","listening,reading",2,True,False,False,False
李宗盛,9,9,3,listening,3,False,False,True,True
关小,8,4,3,"listening,reading",2,True,False,False,False
修好,8,5,4,"listening,reading",2,True,False,True,True
拉近,8,7,4,"listening,reading",2,True,False,True,True
讨论会,8,4,4,"listening,reading",3,False,False,True,True
使馆,8,6,4,"listening,reading",2,False,False,True,True
往东,8,4,4,"listening,reading",2,True,False,False,False
上个星期,8,5,"3,4","listening,reading",4,False,False,True,True
敲门声,8,4,4,reading,3,True,False,True,False
南京,8,4,"3,4","listening,reading",2,False,False,True,True
脸上,8,6,"3,4","listening,reading",2,True,False,True,False
脚下,8,6,"3,4","listening,reading",2,True,False,True,True
往西,8,6,"3,4","listening,reading",2,True,False,False,False
说好,8,5,"3,4","listening,reading",2,True,False,True,True
得不到,8,8,4,reading,3,True,False,True,True
搬走,8,6,"3,4","listening,reading",2,True,False,True,True
花茶,8,6,3,"listening,reading",2,True,False,True,True
穿衣服,8,2,"3,4","listening,reading",3,False,False,True,False
办公楼,8,1,3,"listening,reading",3,True,False,True,True
办公桌,8,4,4,"listening,reading",3,False,False,True,False
慢慢来,8,5,"3,4","listening,reading",3,True,False,True,True
快去,8,5,"3,4","listening,reading",2,True,False,False,False
弄错,8,7,4,"listening,reading",2,True,False,True,True
来得早,8,2,3,"listening,reading",3,True,False,True,False
相,8,5,"3,4","listening,reading",1,False,False,True,True
坏消息,8,2,4,"listening,reading",3,False,False,True,False
店里,8,7,"3,4","listening,reading",2,True,False,True,False
有家,8,7,"3,4","listening,reading",2,True,False,False,False
楼层,8,6,"3,4","listening,reading",2,True,False,True,True
理发店,8,6,4,"listening,reading",3,True,False,True,True
家里人,8,6,"3,4","listening,reading",3,True,False,True,False
坏事,8,5,4,"listening,reading",2,True,False,True,True
班里,8,6,"3,4","listening,reading",2,True,False,True,False
人来,8,6,"3,4","listening,reading",2,True,False,False,False
不敢相信,8,5,"3,4","listening,reading",4,False,False,True,False
火车票,8,4,"3,4","listening,reading",3,True,False,True,True
越来越少,8,5,"3,4","listening,reading",4,True,False,True,False
咱家,8,5,4,"listening,reading",2,True,False,True,True
母亲节,8,4,4,"listening,reading",3,True,False,True,True
那辆车,8,5,"3,4","listening,reading",3,True,False,True,False
学五,8,1,3,listening,2,True,False,False,False
有空,8,3,4,"listening,reading",2,True,False,True,True
戴眼镜,7,6,4,"listening,reading",3,False,False,True,False
发传真,7,7,4,reading,3,True,False,True,False
王经理,7,3,3,"listening,reading",3,False,False,True,False
蛋糕店,7,2,"3,4","listening,reading",3,False,False,True,False
南门,7,4,"3,4","listening,reading",2,True,False,True,False
假话,7,5,4,"listening,reading",2,True,False,True,True
九日山,7,1,3,"listening,reading",3,True,False,True,False
并不一定,7,6,4,"listening,reading",4,True,False,True,False
床上,7,5,4,"listening,reading",2,True,False,True,False
熊猫馆,7,3,3,"listening,reading",3,False,False,True,False
陪你去,7,4,4,"listening,reading",3,True,False,True,False
不知,7,5,4,"listening,reading",2,False,False,True,True
诗八小晴,7,1,3,listening,4,True,False,False,False
照张,7,4,"3,4","listening,reading",2,True,False,False,False
判断力,7,7,4,reading,3,True,False,True,True
照相馆,7,4,"3,4","listening,reading",3,False,False,True,True
脾气好,7,7,4,"listening,reading",3,False,False,True,False
北半球,7,2,4,reading,3,True,False,True,True
流血,7,5,4,"listening,reading",2,True,False,True,True
词是,7,7,"3,4",reading,2,True,False,False,False
完后,7,6,4,"listening,reading",2,True,False,False,False
像是,7,5,"3,4","listening,reading",2,True,False,True,False
下过,7,2,3,"listening,reading",2,True,False,True,False
长胖,7,6,"3,4","listening,reading",2,True,False,True,True
现,7,7,"3,4",reading,1,False,False,True,True
咖啡吧,7,4,"3,4","listening,reading",3,False,False,True,False
同情心,7,7,4,reading,3,False,False,True,False
路上车,7,5,"3,4","listening,reading",3,True,False,True,False
瘦下来,7,4,"3,4","listening,reading",3,True,False,True,False
购物袋,7,4,4,"listening,reading",3,False,False,True,True
地去,7,6,4,"listening,reading",2,True,False,False,False
白云,7,6,"3,4","listening,reading",2,True,False,True,True
向南走,7,3,3,"listening,reading",3,True,False,True,False
小孩,7,6,"3,4","listening,reading",2,False,False,True,True
目的地,7,5,4,"listening,reading",3,False,False,True,True
风向,7,3,4,reading,2,True,False,True,True
跑跑步,7,5,"3,4","listening,reading",3,True,False,True,False
真是太,7,5,"3,4","listening,reading",3,True,False,True,False
错路,7,6,"3,4","listening,reading",2,True,False,False,False
铃铛,7,1,3,listening,2,False,False,True,True
明晚,7,4,"3,4","listening,reading",2,False,False,True,True
科学家,7,5,4,reading,3,True,False,True,True
弄清楚,7,7,4,reading,3,False,False,True,False
现代人,7,6,4,"listening,reading",3,False,False,True,True
下半年,7,3,4,"listening,reading",3,True,False,True,True
经,7,7,"3,4",reading,1,False,False,True,True
辆车,7,6,"3,4","listening,reading",2,True,False,True,False
正合适,7,4,4,"listening,reading",3,False,False,True,False
冷水澡,7,3,3,"listening,reading",3,False,False,True,False
填表格,7,7,4,reading,3,False,False,True,False
河里,6,5,"3,4","listening,reading",2,True,False,True,False
果,6,6,4,reading,1,False,False,True,True
室内,6,4,4,reading,2,True,False,True,True
换衣服,6,3,3,"listening,reading",3,False,False,True,False
正想,6,3,4,"listening,reading",2,True,False,False,False
要来,6,5,"3,4","listening,reading",2,True,False,True,False
求职信,6,1,4,"listening,reading",3,False,False,True,True
查字典,6,6,"3,4",reading,3,False,False,True,False
要开,6,5,"3,4","listening,reading",2,True,False,False,False
慢走,6,2,3,"listening,reading",2,True,False,True,True
查收,6,4,4,"listening,reading",2,True,False,True,True
民族村,6,1,4,"listening,reading",3,False,False,True,False
扔掉,6,4,4,"listening,reading",2,True,False,True,True
样卷,6,2,"3,4",reading,2,True,False,False,False
桌面,6,2,4,"listening,reading",2,False,False,True,True
尝一尝,6,4,4,"listening,reading",3,True,False,True,False
要少,6,4,"3,4","listening,reading",2,True,False,False,False
李选,6,3,"3,4","listening,reading",2,False,False,False,False
故事书,6,5,"3,4","listening,reading",3,False,False,True,False
学到,6,6,"3,4","listening,reading",2,True,False,True,True
弄乱,6,3,4,"listening,reading",2,True,False,True,True
发给你,6,3,4,"listening,reading",3,True,False,True,False
有事吗,6,4,"3,4","listening,reading",3,True,False,True,False
叠,6,6,4,listening,1,False,False,True,True
外人,6,1,4,listening,2,True,False,True,True
琉,6,2,"3,4",listening,1,False,False,True,True
新手机,6,5,"3,4","listening,reading",3,False,False,True,False
填空题,6,4,4,"listening,reading",3,True,False,True,False
电子,6,3,4,"listening,reading",2,True,False,True,True
坏习惯,6,5,"3,4","listening,reading",3,False,False,True,False
男孩子,6,5,"3,4","listening,reading",3,False,False,True,True
白衬衫,6,5,"3,4","listening,reading",3,False,False,True,False
穿件,6,4,"3,4","listening,reading",2,True,False,False,False
四叶草,6,2,4,reading,3,False,False,True,True
睡懒觉,6,4,4,"listening,reading",3,True,False,True,True
易,6,4,"3,4",reading,1,False,False,True,True
发短信,6,3,4,"listening,reading",3,True,False,True,True
弃,6,2,4,reading,1,False,False,True,True
李经理,6,4,"3,4","listening,reading",3,False,False,True,False
天短,6,1,3,listening,2,True,False,False,False
灯不亮,6,3,4,"listening,reading",3,True,False,True,False
自备,6,5,4,reading,2,False,False,True,True
姐弟,6,6,"3,4",reading,2,False,False,True,False
爱上,6,3,"3,4","listening,reading",2,True,False,False,True
脸红,6,4,"3,4","listening,reading",2,True,False,True,True
认出来,6,3,3,"listening,reading",3,True,False,True,False
杂志社,6,3,4,"listening,reading",3,False,False,True,True
年费,6,2,4,"listening,reading",2,True,False,False,True
好了没,6,4,"3,4","listening,reading",3,True,False,True,False
离家,6,4,"3,4","listening,reading",2,True,False,True,False
南京旅游,6,3,3,"listening,reading",4,False,False,True,False
数学课,6,4,"3,4","listening,reading",3,True,False,True,False
老黄,6,2,4,"listening,reading",2,True,False,False,False
数学题,6,5,"3,4",reading,3,True,False,True,False
王东,6,2,3,"listening,reading",2,True,False,False,False
再晚,6,4,4,"listening,reading",2,True,False,False,False
敢不敢,6,3,3,"listening,reading",3,True,False,True,False
专业课,6,2,4,"listening,reading",3,False,False,True,False
久等,6,2,"3,4","listening,reading",2,True,False,True,True
么,6,6,"3,4",reading,1,False,False,True,True
顺便去,6,6,4,"listening,reading",3,True,False,True,False
跟着,6,4,"3,4","listening,reading",2,True,False,True,True
该换,6,5,"3,4","listening,reading",2,True,False,True,False
上上网,6,3,3,"listening,reading",3,True,False,True,False
遇事,6,6,"3,4",reading,2,True,False,True,False
读完,6,3,4,"listening,reading",2,True,False,True,False
车族,6,2,4,reading,2,True,False,True,False
儿童票,6,4,4,"listening,reading",3,False,False,True,False
六点半,6,4,"3,4","listening,reading",3,True,False,True,False
说出,6,5,"3,4","listening,reading",2,True,False,True,True
送来,6,4,"3,4","listening,reading",2,True,False,True,False
讲个,6,4,3,"listening,reading",2,True,False,False,False
说起,6,3,"3,4","listening,reading",2,True,False,True,True
过牙,6,4,3,"listening,reading",2,True,False,False,False
一辆车,6,4,"3,4","listening,reading",3,True,False,True,False
交到,6,4,4,"listening,reading",2,True,False,True,False
不符,6,6,4,reading,2,False,False,True,True
不是故意,6,5,4,"listening,reading",4,False,False,True,False
难过地,6,2,3,"listening,reading",3,True,False,True,False
面包店,6,3,"3,4",reading,3,True,False,True,True
入口处,6,4,4,"listening,reading",3,True,False,True,False
一年四季,6,6,4,"listening,reading",4,True,False,True,True
光看,6,3,4,"listening,reading",2,True,False,False,False
长江大桥,6,4,4,"listening,reading",4,True,False,True,False
