word,total_count,exam_count,hsk_levels_seen,source_types_seen,char_length,all_chars_known,likely_noise,in_jieba_dict,in_cedict
湖南,4,2,4,"listening,reading",2,True,False,True,True
买一送一,4,3,4,"listening,reading",4,True,False,True,True
深受,4,3,4,"listening,reading",2,True,False,True,True
右转,4,2,4,"listening,reading",2,True,False,True,True
汉族,4,3,4,reading,2,False,False,True,True
忽冷忽热,4,2,4,"listening,reading",4,False,False,True,True
步入,4,2,4,reading,2,True,False,True,True
长高,4,2,"3,4","listening,reading",2,True,False,False,True
左转,4,3,4,"listening,reading",2,True,False,True,True
易懂,4,4,4,reading,2,False,False,True,True
懒人,4,4,4,reading,2,True,False,True,True
等一等,3,3,4,"listening,reading",3,True,False,True,True
电子词典,3,1,3,"listening,reading",4,False,False,True,True
墓地,3,1,4,listening,2,True,False,True,True
借出,3,1,3,"listening,reading",2,True,False,True,True
红叶,3,1,4,reading,2,False,False,True,True
低年级,3,1,3,reading,3,True,False,True,True
及时雨,3,1,4,reading,3,False,False,True,True
老舍,3,2,4,"listening,reading",2,False,False,True,True
红楼梦,3,3,4,reading,3,True,False,True,True
撞车,3,3,4,reading,2,True,False,True,True
调查表,3,2,4,"listening,reading",3,True,False,True,True
眼药水,3,1,3,"listening,reading",3,True,False,True,True
情,3,3,4,reading,1,False,False,True,True
望,3,3,"3,4",reading,1,False,False,True,True
有钱,3,3,4,reading,2,True,False,True,True
高低,3,2,4,reading,2,True,False,True,True
冰块,3,1,3,"listening,reading",2,True,False,True,True
下山,3,2,3,"listening,reading",2,True,False,True,True
阉,3,1,3,reading,1,False,False,True,True
父亲节,3,1,4,"listening,reading",3,False,False,True,True
且,3,3,"3,4",reading,1,False,False,True,True
到家,3,3,"3,4",listening,2,True,False,False,True
万事开头难,3,3,"3,4","listening,reading",5,True,False,True,True
希,3,3,"3,4",reading,1,False,False,True,True
听话,3,2,3,"listening,reading",2,True,False,True,True
留住,3,2,4,"listening,reading",2,True,False,True,True
知,3,3,"3,4",reading,1,False,False,True,True
男孩,3,3,"3,4",listening,2,False,False,True,True
吸引力,3,3,4,reading,3,True,False,True,True
各国,3,2,4,reading,2,True,False,True,True
玩笑,3,2,4,"listening,reading",2,True,False,True,True
修路,3,1,4,reading,2,True,False,True,True
过节,3,2,3,"listening,reading",2,True,False,True,True
篮球场,3,3,"3,4",reading,3,False,False,True,True
班上,3,2,"3,4","listening,reading",2,True,False,True,True
考完,3,1,3,"listening,reading",2,True,False,False,True
物,3,3,4,reading,1,False,False,True,True
可不,3,2,4,"listening,reading",2,True,False,True,True
体,3,3,"3,4","listening,reading",1,False,False,True,True
货梯,3,1,4,"listening,reading",2,False,False,False,True
理发师,3,3,4,reading,3,False,False,True,True
制冷,3,2,4,"listening,reading",2,False,False,True,True
南下,3,3,4,"listening,reading",2,True,False,True,True
停下来,3,2,4,"listening,reading",3,True,False,True,True
右手,3,3,4,reading,2,True,False,True,True
短时间,3,3,4,reading,3,True,False,True,True
失败者,3,3,4,reading,3,False,False,True,True
会场,3,2,4,"listening,reading",2,True,False,True,True
租房,3,3,4,reading,2,False,False,True,True
向下,3,1,3,"listening,reading",2,True,False,True,True
什,3,3,4,reading,1,False,False,True,True
吸烟室,3,2,4,"listening,reading",3,True,False,True,True
极大,3,2,4,"listening,reading",2,True,False,True,True
低矮,3,3,"3,4",reading,2,True,False,True,True
母亲河,3,3,4,reading,3,True,False,True,True
安全感,3,3,4,reading,3,False,False,True,True
认错,3,2,"3,4","listening,reading",2,True,False,True,True
字数,3,3,4,reading,2,True,False,True,True
奶牛场,3,1,4,listening,3,True,False,True,True
奶瓶,3,1,3,"listening,reading",2,True,False,True,True
亲情,3,1,4,reading,2,False,False,True,True
云南省,3,2,4,reading,3,True,False,True,True
抽时间,3,2,4,"listening,reading",3,True,False,True,True
午后,3,3,4,"listening,reading",2,False,False,True,True
爬山虎,3,1,4,reading,3,True,False,True,True
北风,3,1,4,reading,2,True,False,True,True
书本,3,3,"3,4",reading,2,True,False,True,True
江西,3,2,4,"listening,reading",2,True,False,True,True
买房,3,3,"3,4",reading,2,False,False,True,True
对家,3,2,4,"listening,reading",2,True,False,False,True
试衣间,3,2,4,"listening,reading",3,False,False,True,True
水草,3,3,4,reading,2,True,False,True,True
换洗,3,2,3,"listening,reading",2,True,False,True,True
重要性,3,3,4,reading,3,True,False,True,True
汽车站,3,3,3,reading,3,False,False,True,True
功,3,3,4,reading,1,False,False,True,True
客,3,2,"3,4","listening,reading",1,False,False,True,True
船票,3,3,3,"listening,reading",2,True,False,True,True
注意力,3,3,4,reading,3,False,False,True,True
出新,3,3,4,reading,2,True,False,True,True
手忙脚乱,3,3,4,reading,4,True,False,True,True
深色,3,1,4,reading,2,True,False,True,True
送货,3,3,4,"listening,reading",2,True,False,True,True
饭卡,3,1,4,reading,2,True,False,True,True
送信,3,3,3,reading,2,True,False,True,True
既有,3,3,4,reading,2,True,False,True,True
无处不在,3,3,4,reading,4,True,False,True,True
无价,3,2,4,reading,2,True,False,True,True
教育学,3,2,4,"listening,reading",3,False,False,True,True
西山,3,1,4,"listening,reading",2,True,False,True,True
凉茶,3,1,4,reading,2,True,False,True,True
教课,3,1,4,"listening,reading",2,True,False,True,True
冷空气,3,3,4,"listening,reading",3,True,False,True,True
上下文,3,3,4,reading,3,False,False,True,True
改掉,3,3,4,reading,2,True,False,True,True
新婚,3,1,4,"listening,reading",2,False,False,True,True
葡萄汁,3,2,"3,4","listening,reading",3,False,False,True,True
往前,3,1,3,listening,2,True,False,True,True
停电,3,3,4,"listening,reading",2,True,False,True,True
节食,3,2,4,"listening,reading",2,False,False,True,True
长满,3,3,4,"listening,reading",2,True,False,True,True
星期四,3,3,"3,4",reading,3,False,False,True,True
进食,3,3,4,reading,2,False,False,True,True
影响力,3,2,4,"listening,reading",3,False,False,True,True
刀子,3,3,4,reading,2,True,False,True,True
飞机票,3,2,3,"listening,reading",3,False,False,True,True
许,3,3,"3,4",reading,1,False,False,True,True
山下,2,1,4,listening,2,True,True,True,True
发笑,2,1,4,reading,2,True,True,True,True
取出,2,1,4,"listening,reading",2,True,True,True,True
同龄人,2,2,4,reading,3,False,False,True,True
向着,2,2,4,"listening,reading",2,True,False,True,True
否,2,2,4,reading,1,False,False,True,True
呐,2,2,4,listening,1,False,False,True,True
周公,2,1,4,reading,2,True,True,False,True
响起,2,2,4,reading,2,True,False,True,True
卖出,2,1,4,"listening,reading",2,True,True,True,True
天后,2,1,4,reading,2,True,True,False,True
少见,2,2,"3,4",reading,2,True,False,True,True
女大十八变,2,1,3,"listening,reading",5,True,True,True,True
山东,2,1,4,reading,2,True,True,True,True
山西,2,2,3,reading,2,True,False,True,True
山路,2,2,3,reading,2,True,False,True,True
工作室,2,2,4,reading,3,False,False,True,True
差一点儿,2,2,4,reading,4,False,False,True,True
年收入,2,1,4,reading,3,True,True,True,True
幽默感,2,1,4,"listening,reading",3,False,True,True,True
将会,2,2,4,reading,2,True,False,False,True
天数,2,2,4,reading,2,True,False,True,True
天等,2,2,4,reading,2,True,False,False,True
太阳镜,2,1,3,reading,3,False,True,True,True
室外,2,2,4,reading,2,True,False,True,True
友情,2,2,4,reading,2,False,False,True,True
发光,2,2,4,reading,2,True,False,True,True
水流,2,2,4,listening,2,True,False,True,True
历,2,2,"3,4","listening,reading",1,False,False,True,True
南开,2,1,3,listening,2,True,True,True,True
美景,2,2,4,reading,2,True,False,True,True
广西,2,1,4,reading,2,True,True,True,True
死机,2,1,4,"listening,reading",2,False,True,True,True
死去,2,2,4,reading,2,True,False,True,True
里加,2,2,4,"listening,reading",2,True,False,True,True
百分之百,2,1,4,"listening,reading",4,True,True,True,True
罩,2,1,3,listening,1,False,True,True,True
病危,2,1,4,reading,2,False,True,True,True
长篇小说,2,2,4,reading,4,True,False,True,True
歉,2,2,4,reading,1,False,False,True,True
长白山,2,1,4,reading,3,True,True,True,True
登机,2,2,4,reading,2,False,False,True,True
正要,2,2,3,reading,2,True,False,True,True
报上,2,2,4,reading,2,True,False,True,True
天冷,2,2,3,reading,2,True,False,True,True
四季如春,2,2,4,"listening,reading",4,True,False,True,True
国际法,2,1,4,"listening,reading",3,False,True,True,True
地久天长,2,2,4,reading,4,True,False,True,True
坏脾气,2,1,4,"listening,reading",3,False,True,True,True
城里人,2,1,3,reading,3,True,True,True,True
多音字,2,1,3,reading,3,False,True,True,True
大吃一惊,2,2,4,reading,4,False,False,True,True
哭声,2,1,3,"listening,reading",2,True,True,True,True
司,2,2,3,reading,1,False,False,True,True
南京路,2,2,4,reading,3,False,False,True,True
家去,2,2,3,reading,2,True,False,False,True
介绍信,2,2,3,reading,3,False,False,True,True
介,2,2,4,reading,1,False,False,True,True
准确性,2,1,4,"listening,reading",3,False,True,True,True
前台,2,1,4,"listening,reading",2,True,True,True,True
加时赛,2,1,4,reading,3,True,True,True,True
助力,2,2,4,reading,2,False,False,True,True
努,2,2,4,reading,1,False,False,True,True
保暖,2,2,4,reading,2,True,False,True,True
体内,2,1,4,"listening,reading",2,False,True,True,True
养家,2,2,4,reading,2,True,False,True,True
儿孙,2,1,4,reading,2,False,True,True,True
免票,2,2,4,reading,2,False,False,True,True
入海口,2,2,4,"listening,reading",3,True,False,True,True
共用,2,1,4,"listening,reading",2,True,True,True,True
广州市,2,1,3,reading,3,True,True,True,True
名气,2,2,4,reading,2,True,False,True,True
黑白,2,2,3,reading,2,True,False,True,True
忙不过来,2,2,3,reading,4,True,False,True,True
张嘴,2,2,"3,4",reading,2,True,False,True,True
戴帽子,2,2,4,reading,3,False,False,True,True
找回,2,2,4,reading,2,True,False,True,True
急事,2,2,"3,4",reading,2,True,False,True,True
当做,2,2,4,reading,2,True,False,True,True
引人注意,2,2,4,reading,4,False,False,True,True
成群,2,2,4,reading,2,True,False,True,True
态,2,2,4,reading,1,False,False,True,True
总的来说,2,1,4,reading,4,True,True,True,True
手洗,2,1,4,"listening,reading",2,True,True,False,True
减慢,2,2,4,reading,2,True,False,True,True
冰心,2,1,4,reading,2,True,True,True,True
举例来说,2,2,4,reading,4,False,False,True,True
以南,2,1,4,reading,2,True,True,True,True
久远,2,2,3,"listening,reading",2,True,False,True,True
习,2,2,"3,4",reading,1,False,False,True,True
五台山,2,1,4,reading,3,True,True,True,True
交通费,2,1,4,"listening,reading",3,True,True,True,True
亮光,2,2,4,reading,2,True,False,True,True
人中,2,1,4,"listening,reading",2,True,True,False,True
人体,2,1,4,reading,2,False,True,True,True
人选,2,2,4,listening,2,True,False,True,True
人马,2,1,4,"listening,reading",2,True,True,True,True
丰富多彩,2,2,4,"listening,reading",4,False,False,True,True
上班族,2,2,4,reading,3,True,False,True,True
万物,2,1,4,"listening,reading",2,False,True,True,True
三叶草,2,2,4,reading,3,False,False,True,True
上个,2,1,3,"listening,reading",2,True,True,True,True
上天,2,2,4,reading,2,True,False,True,True
上山,2,1,3,"listening,reading",2,True,True,True,True
上星期,2,2,3,reading,3,False,False,True,True
中山公园,2,1,4,listening,4,True,True,True,True
上街,2,1,4,"listening,reading",2,True,True,True,True
下层,2,2,3,reading,2,True,False,True,True
专,2,2,4,reading,1,False,False,True,True
世纪末,2,2,4,reading,3,False,False,True,True
东南亚,2,1,4,"listening,reading",3,False,True,True,True
东海,2,2,4,reading,2,True,False,True,True
医,2,2,"3,4",reading,1,False,False,True,True
醒来,2,1,4,"listening,reading",2,True,True,True,True
梦到,2,2,4,reading,2,True,False,False,True
锻,2,2,"3,4",reading,1,False,False,True,True
招人,2,2,4,reading,2,True,False,True,True
认清,2,2,4,reading,2,True,False,True,True
见面会,2,1,4,"listening,reading",3,True,True,True,True
